bet,date,hometeam,awayteam,homegoals,awaygoals,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds,hfr19,afr19,str,wsh_form,wsa_form
1,29/09/13,Cagliari,Inter,1,1,342.6,1.53,22.33,3.8,2.0,0.49,0.53,5.25,7,7
2,29/09/13,Roma,Bologna,5,0,322.6,2.23,2.84,1.33,9.0,0.69,0.44,0.27072,7,7
1,29/09/13,Sassuolo,Lazio,2,2,302.6,1.73,7.91,4.5,1.83,0.11,0.54,7.5,7,7
1,27/10/13,Chievo,Fiorentina,1,2,282.6,1.58,13.92,3.8,2.0,0.36,0.67,5.475,7,7
2,27/10/13,Juventus,Genoa,2,0,262.6,1.65,4.39,1.2,15.0,0.79,0.42,0.4704,7,7
1,27/10/13,Udinese,Roma,0,1,242.6,1.5,24.86,3.3,2.15,0.61,0.73,6.6,7,7
2,02/11/13,Napoli,Catania,2,1,222.6,1.9,3.25,1.22,13.0,0.77,0.42,0.31104,7,7
1,02/11/13,Parma,Juventus,0,1,202.6,1.51,14.27,4.5,1.73,0.48,0.81,5.325,7,7
1,24/11/13,Bologna,Inter,1,1,182.6,1.55,17.01,4.0,1.91,0.41,0.57,5.1,7,7
1,24/11/13,Livorno,Juventus,0,2,162.6,2.24,2.91,8.5,1.36,0.3,0.83,1.2,7,7
1,01/12/13,Catania,Milan,1,3,142.6,1.87,5.32,4.75,1.75,0.4,0.57,1.35,7,7
1,06/12/13,Bologna,Juventus,0,2,122.6,1.6,6.94,8.5,1.4,0.42,0.85,2.925,7,7
1,07/12/13,Livorno,Milan,2,2,102.6,1.66,7.71,5.5,1.62,0.27,0.6,3.45,7,7
1,22/12/13,Sassuolo,Fiorentina,0,1,82.6,1.53,18.8,4.33,1.85,0.36,0.66,7.5,7,7
1,12/01/14,Cagliari,Juventus,1,4,62.6,1.6,6.9,7.0,1.44,0.49,0.87,2.55,7,7
1,12/01/14,Sassuolo,Milan,4,3,142.6,1.5,18.04,5.0,1.7,0.31,0.58,7.5,7,7
1,12/01/14,Verona,Napoli,0,3,122.6,1.47,28.15,3.8,1.95,0.62,0.73,7.5,7,7
2,18/01/14,Roma,Livorno,3,0,102.6,1.63,4.29,1.18,15.0,0.71,0.23,0.28416,7,7
1,19/01/14,Bologna,Napoli,2,2,82.6,1.57,10.42,5.0,1.67,0.39,0.74,4.2,7,7
1,19/01/14,Catania,Fiorentina,0,3,62.6,1.6,12.34,3.6,2.05,0.37,0.68,4.725,7,7
2,25/01/14,Napoli,Chievo,1,1,42.6,2.03,3.15,1.29,10.0,0.73,0.38,0.2688,7,7
1,26/01/14,Verona,Roma,1,3,22.6,1.55,12.69,4.75,1.75,0.53,0.73,3.75,7,7
