bet,date,hometeam,awayteam,homegoals,awaygoals,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds,hfr19,afr19,str,wsh_form,wsa_form
1,26/12/11,West Brom,Man City,0,0,-121.0,1.51,8.67,7.0,1.44,0.48,0.79,3.15,7,7
1,27/12/11,Norwich,Tottenham,0,2,-141.0,1.47,23.06,4.5,1.8,0.48,0.69,7.5,7,7
2,31/12/11,Chelsea,Aston Villa,1,3,99.0,2.34,2.69,1.29,13.0,0.65,0.45,0.26496,7,7
2,31/12/11,Man United,Blackburn,2,3,599.0,1.4,6.32,1.13,26.0,0.82,0.32,0.58944,7,7
1,31/12/11,Swansea,Tottenham,1,1,579.0,1.49,19.81,5.5,1.67,0.42,0.71,7.5,7,7
1,01/01/12,Sunderland,Man City,1,0,689.0,1.66,6.76,6.5,1.53,0.41,0.77,2.55,7,7
1,02/01/12,Fulham,Arsenal,2,1,749.0,1.6,11.27,4.0,1.91,0.47,0.66,3.3,7,7
1,02/01/12,Wolves,Chelsea,1,2,729.0,1.65,6.88,6.0,1.57,0.37,0.62,2.325,7,7
1,04/01/12,Newcastle,Man United,3,0,809.0,1.65,8.57,5.0,1.73,0.5,0.78,2.7,7,7
2,14/01/12,Tottenham,Wolves,1,1,789.0,1.88,3.48,1.25,13.0,0.73,0.35,0.29568,7,7
1,15/01/12,Swansea,Arsenal,3,2,864.0,1.57,13.15,4.75,1.8,0.47,0.63,3.75,7,7
1,16/01/12,Wigan,Man City,0,1,844.0,1.72,5.37,9.0,1.4,0.36,0.75,2.175,7,7
1,21/01/12,Norwich,Chelsea,0,0,824.0,1.48,13.38,5.5,1.62,0.53,0.66,3.75,7,7
1,31/01/12,Swansea,Chelsea,1,1,804.0,1.62,13.19,4.0,2.0,0.47,0.65,3.75,7,7
2,31/01/12,Tottenham,Wigan,3,1,784.0,1.77,3.71,1.22,15.0,0.68,0.33,0.33792,7,7
1,31/01/12,Wolves,Liverpool,0,3,764.0,1.64,7.84,5.0,1.7,0.33,0.56,2.7,7,7
1,01/02/12,Bolton,Arsenal,0,0,744.0,1.72,6.54,5.0,1.7,0.35,0.56,2.025,7,7
2,04/02/12,Arsenal,Blackburn,7,1,724.0,2.3,2.61,1.29,11.0,0.56,0.36,0.24384,7,7
2,04/02/12,Man City,Fulham,3,0,704.0,2.3,2.61,1.3,10.0,0.73,0.5,0.2592,7,7
1,11/02/12,Everton,Chelsea,2,0,749.0,1.52,26.52,3.25,2.25,0.51,0.63,7.2,7,7
1,11/02/12,Sunderland,Arsenal,1,2,729.0,1.57,14.52,3.5,2.1,0.53,0.58,3.375,7,7
1,12/02/12,Aston Villa,Man City,0,1,709.0,1.6,10.37,5.5,1.67,0.46,0.75,3.525,7,7
1,26/02/12,Norwich,Man United,1,2,689.0,1.5,12.24,6.5,1.53,0.56,0.77,3.75,7,7
1,10/03/12,Sunderland,Liverpool,1,0,745.0,1.6,12.1,3.8,2.0,0.48,0.53,2.775,7,7
1,11/03/12,Swansea,Man City,1,0,845.0,1.56,10.68,6.0,1.62,0.48,0.79,3.75,7,7
2,12/03/12,Arsenal,Newcastle,2,1,825.0,2.78,2.45,1.44,7.5,0.64,0.54,0.24768,7,7
1,18/03/12,Wolves,Man United,0,5,805.0,1.72,4.59,9.0,1.33,0.31,0.81,2.325,7,7
1,21/03/12,QPR,Liverpool,3,2,885.0,1.64,9.03,5.0,1.73,0.26,0.53,3.75,7,7
2,21/03/12,Tottenham,Stoke,1,1,865.0,2.49,2.66,1.4,8.5,0.6,0.44,0.26112,7,7
2,24/03/12,Arsenal,Aston Villa,3,0,845.0,2.07,3.15,1.33,10.0,0.68,0.47,0.34944,7,7
2,24/03/12,Liverpool,Wigan,1,2,1045.0,2.35,2.55,1.29,11.0,0.5,0.36,0.26112,7,7
1,24/03/12,Stoke,Man City,1,1,1025.0,1.7,6.81,6.0,1.62,0.45,0.76,2.25,7,7
2,31/03/12,Man City,Sunderland,3,3,1005.0,2.15,2.62,1.22,12.0,0.75,0.5,0.27072,7,7
1,31/03/12,QPR,Arsenal,2,1,1095.0,1.59,7.43,5.5,1.57,0.29,0.7,3.75,7,7
1,02/04/12,Blackburn,Man United,0,2,1075.0,1.44,10.61,9.0,1.36,0.4,0.83,5.1,7,7
1,07/04/12,Sunderland,Tottenham,0,0,1055.0,1.57,14.22,3.3,2.2,0.5,0.61,3.675,7,7
2,08/04/12,Man United,QPR,2,0,1035.0,1.56,4.44,1.17,15.0,0.84,0.34,0.384,7,7
1,09/04/12,Fulham,Chelsea,1,1,1015.0,1.62,11.47,3.5,2.1,0.52,0.61,2.775,7,7
2,09/04/12,Tottenham,Norwich,1,2,1215.0,2.02,3.09,1.29,11.0,0.61,0.46,0.384,7,7
1,10/04/12,Blackburn,Liverpool,2,3,1195.0,1.55,16.72,3.5,2.1,0.36,0.45,4.5,7,7
2,11/04/12,Man City,West Brom,4,0,1175.0,1.96,3.25,1.25,13.0,0.7,0.46,0.36288,7,7
1,11/04/12,Wigan,Man United,1,0,1335.0,2.34,2.76,9.0,1.36,0.4,0.84,0.825,7,7
1,11/04/12,Wolves,Arsenal,0,3,1315.0,2.2,3.09,7.0,1.44,0.25,0.68,1.275,7,7
1,14/04/12,Norwich,Man City,1,6,1295.0,1.48,11.5,6.0,1.53,0.49,0.71,3.75,7,7
1,21/04/12,QPR,Tottenham,1,0,1355.0,1.59,10.52,4.0,1.91,0.34,0.58,3.75,7,7
1,22/04/12,Wolves,Man City,0,2,1335.0,1.82,3.37,12.0,1.22,0.25,0.73,1.8,7,7
1,28/04/12,Norwich,Liverpool,0,3,1315.0,1.48,32.58,3.8,2.0,0.44,0.45,7.5,7,7
1,28/04/12,Stoke,Arsenal,1,1,1295.0,1.64,9.01,4.33,1.83,0.43,0.65,2.775,7,7
1,02/05/12,Bolton,Tottenham,1,4,1275.0,1.57,11.62,4.0,1.91,0.39,0.57,3.6,7,7
2,05/05/12,Arsenal,Norwich,3,3,1255.0,1.84,3.31,1.22,12.0,0.64,0.41,0.384,7,7
1,06/05/12,Aston Villa,Tottenham,1,1,1235.0,1.64,8.02,4.2,1.83,0.4,0.59,2.4,7,7
2,06/05/12,Man United,Swansea,2,0,1215.0,1.79,3.36,1.17,17.0,0.75,0.46,0.384,7,7
1,06/05/12,Wolves,Everton,0,0,1195.0,1.84,5.26,5.0,1.7,0.25,0.59,2.25,7,7
2,13/05/12,Man City,QPR,3,2,1175.0,1.62,3.68,1.13,19.0,0.77,0.39,0.384,7,7
1,13/05/12,Sunderland,Man United,0,1,1155.0,1.94,3.82,7.0,1.44,0.45,0.77,1.125,7,7
1,13/05/12,Swansea,Liverpool,1,0,1203.0,1.47,30.28,3.4,2.1,0.44,0.48,7.5,7,7
1,13/05/12,West Brom,Arsenal,2,3,1183.0,1.49,13.0,5.0,1.67,0.5,0.63,3.675,7,7
1,18/08/12,West Brom,Liverpool,3,0,1247.0,1.49,22.32,4.2,1.91,0.47,0.46,4.875,7,7
1,19/08/12,Wigan,Chelsea,0,2,1227.0,1.71,6.77,6.0,1.62,0.52,0.59,1.5,7,7
1,20/08/12,Everton,Man United,1,0,1293.6,1.6,10.49,4.33,1.83,0.6,0.78,2.85,7,7
1,26/08/12,Stoke,Arsenal,0,0,1273.6,1.62,11.3,3.5,2.1,0.42,0.65,3.6,7,7
1,02/09/12,Southampton,Man United,2,3,1253.6,1.75,5.25,6.0,1.53,0.1,0.75,7.5,7,7
1,15/09/12,QPR,Chelsea,0,0,1233.6,1.55,14.58,4.5,1.83,0.34,0.65,6.0,7,7
1,15/09/12,Stoke,Man City,1,1,1213.6,1.65,8.51,5.0,1.73,0.43,0.79,3.15,7,7
1,15/09/12,Sunderland,Liverpool,1,1,1193.6,1.52,26.46,3.4,2.2,0.44,0.42,5.55,7,7
1,29/09/12,Fulham,Man City,1,2,1173.6,1.55,13.09,4.33,1.83,0.56,0.76,3.825,7,7
1,29/09/12,Norwich,Liverpool,2,5,1153.6,1.57,10.48,4.75,1.73,0.41,0.4,2.175,7,7
2,06/10/12,Man City,Sunderland,3,0,1133.6,2.21,2.73,1.29,11.0,0.77,0.47,0.25152,7,7
1,06/10/12,Wigan,Everton,2,2,1113.6,1.64,10.48,4.2,1.91,0.44,0.65,3.15,7,7
1,07/10/12,Newcastle,Man United,0,3,1093.6,1.47,18.68,4.2,1.83,0.58,0.75,5.475,7,7
1,20/10/12,Norwich,Arsenal,1,0,1193.6,1.58,7.7,6.0,1.53,0.37,0.65,2.85,7,7
1,20/10/12,West Brom,Man City,1,2,1173.6,1.6,9.15,5.0,1.7,0.55,0.78,2.7,7,7
1,28/10/12,Southampton,Tottenham,1,2,1153.6,1.55,11.42,4.2,1.83,0.2,0.61,7.5,7,7
1,03/11/12,Swansea,Chelsea,1,1,1133.6,1.63,9.34,4.5,1.8,0.45,0.67,2.85,7,7
1,03/11/12,West Ham,Man City,0,0,1113.6,1.83,5.28,5.0,1.7,0.4,0.81,1.95,7,7
1,10/11/12,Aston Villa,Man United,2,3,1093.6,1.8,4.49,7.0,1.44,0.38,0.79,1.725,7,7
1,17/11/12,Norwich,Man United,1,0,1213.6,1.66,5.69,7.0,1.44,0.44,0.81,2.1,7,7
1,17/11/12,Reading,Everton,2,1,1280.2,1.58,11.18,4.33,1.83,0.33,0.64,4.575,7,7
1,17/11/12,West Brom,Chelsea,2,1,1335.2,1.63,9.93,3.75,2.0,0.55,0.65,2.4,7,7
1,24/11/12,Aston Villa,Arsenal,0,0,1315.2,1.65,7.93,4.75,1.73,0.34,0.62,2.925,7,7
1,28/11/12,Wigan,Man City,0,2,1295.2,1.8,4.88,6.0,1.53,0.46,0.8,1.575,7,7
1,01/12/12,Reading,Man United,3,4,1275.2,1.73,4.72,7.5,1.4,0.33,0.79,2.175,7,7
1,17/12/12,Reading,Arsenal,2,5,1255.2,2.07,3.75,5.5,1.62,0.28,0.59,1.275,7,7
1,22/12/12,Wigan,Arsenal,0,1,1235.2,1.53,12.84,4.75,1.73,0.4,0.62,4.35,7,7
2,23/12/12,Chelsea,Aston Villa,8,0,1215.2,2.36,2.54,1.33,8.5,0.59,0.42,0.25536,7,7
1,23/12/12,Swansea,Man United,1,1,1195.2,1.69,6.25,5.0,1.67,0.48,0.82,2.1,7,7
2,26/12/12,Man United,Newcastle,4,3,1175.2,1.78,3.53,1.22,13.0,0.81,0.47,0.384,7,7
1,26/12/12,Norwich,Chelsea,0,1,1155.2,1.71,6.7,6.0,1.62,0.53,0.61,1.5,7,7
1,26/12/12,Sunderland,Man City,1,0,1265.2,1.54,9.73,6.5,1.53,0.42,0.78,3.9,7,7
1,29/12/12,Norwich,Man City,3,4,1245.2,1.65,7.01,6.0,1.57,0.5,0.74,2.1,7,7
1,29/12/12,Sunderland,Tottenham,1,2,1225.2,1.57,14.6,3.5,2.1,0.45,0.62,4.275,7,7
2,01/01/13,Man City,Stoke,3,0,1205.2,2.01,3.11,1.29,11.0,0.75,0.54,0.37056,7,7
1,01/01/13,Southampton,Arsenal,1,1,1185.2,1.57,10.2,5.0,1.7,0.38,0.66,3.75,7,7
1,01/01/13,Wigan,Man United,0,4,1165.2,1.93,4.09,6.0,1.53,0.39,0.83,1.5,7,7
2,02/01/13,Chelsea,QPR,0,1,1445.2,1.95,3.01,1.2,15.0,0.66,0.28,0.21888,7,7
2,02/01/13,Liverpool,Sunderland,3,0,1425.2,2.75,2.41,1.4,8.5,0.52,0.43,0.24192,7,7
1,12/01/13,QPR,Tottenham,0,0,1405.2,1.61,8.61,4.5,1.85,0.32,0.66,3.675,7,7
1,21/01/13,Southampton,Everton,0,0,1385.2,1.58,12.4,3.6,2.05,0.44,0.63,3.75,7,7
1,29/01/13,QPR,Man City,0,0,1365.2,1.97,3.7,7.5,1.5,0.33,0.79,1.5,7,7
2,30/01/13,Man United,Southampton,2,1,1345.2,1.74,3.66,1.25,14.0,0.82,0.45,0.384,7,7
1,30/01/13,Reading,Chelsea,2,2,1325.2,2.58,2.57,7.5,1.5,0.36,0.65,0.6,7,7
2,02/02/13,Arsenal,Stoke,1,0,1305.2,2.27,2.97,1.44,9.0,0.6,0.46,0.33408,7,7
2,02/02/13,Everton,Aston Villa,3,3,1285.2,2.26,2.8,1.4,9.0,0.64,0.33,0.21312,7,7
1,02/02/13,Fulham,Man United,0,1,1265.2,1.97,3.93,5.5,1.65,0.46,0.83,1.2,7,7
1,02/02/13,Newcastle,Chelsea,3,2,1325.2,1.58,11.16,4.0,2.0,0.41,0.64,3.675,7,7
1,03/02/13,West Brom,Tottenham,0,1,1305.2,1.6,12.12,3.6,2.2,0.45,0.63,3.525,7,7
1,09/02/13,Southampton,Man City,3,1,1400.2,1.55,9.62,5.75,1.67,0.42,0.76,3.75,7,7
1,09/02/13,Sunderland,Arsenal,0,1,1380.2,1.58,11.11,4.5,1.91,0.45,0.62,3.225,7,7
1,23/02/13,Norwich,Everton,2,1,1436.2,1.48,24.5,3.8,2.1,0.44,0.6,7.5,7,7
1,23/02/13,QPR,Man United,0,2,1416.2,2.04,3.57,7.0,1.53,0.33,0.85,1.5,7,7
2,02/03/13,Chelsea,West Brom,1,0,1396.2,2.52,2.48,1.4,9.0,0.6,0.49,0.2688,7,7
2,02/03/13,Man United,Norwich,4,0,1376.2,2.03,3.08,1.33,11.0,0.86,0.47,0.27648,7,7
1,02/03/13,Wigan,Liverpool,0,4,1356.2,1.47,18.52,4.5,1.85,0.39,0.53,5.7,7,7
1,04/03/13,Aston Villa,Man City,0,1,1336.2,1.76,4.75,7.5,1.44,0.35,0.73,1.875,7,7
1,16/03/13,Southampton,Liverpool,3,1,1400.2,1.53,12.15,4.2,1.91,0.41,0.58,3.75,7,7
1,30/03/13,Southampton,Chelsea,2,1,1450.2,1.49,23.06,3.5,2.2,0.44,0.64,7.5,7,7
1,31/03/13,Aston Villa,Liverpool,1,2,1430.2,1.42,22.28,5.0,1.75,0.4,0.55,7.2,7,7
1,06/04/13,West Brom,Arsenal,1,2,1410.2,1.74,6.45,4.1,1.95,0.46,0.67,1.8,7,7
1,13/04/13,Reading,Liverpool,0,0,1390.2,1.76,4.51,8.0,1.45,0.27,0.57,1.8,7,7
1,17/04/13,Fulham,Chelsea,0,3,1370.2,1.5,14.69,4.75,1.8,0.5,0.63,4.125,7,7
1,20/04/13,Fulham,Arsenal,0,1,1350.2,1.44,18.7,5.0,1.75,0.47,0.69,6.375,7,7
1,21/04/13,Tottenham,Man City,3,1,1395.2,1.54,13.88,3.25,2.3,0.64,0.75,3.525,7,7
1,27/04/13,Wigan,Tottenham,2,2,1375.2,1.52,15.56,3.8,2.05,0.39,0.66,5.775,7,7
2,28/04/13,Chelsea,Swansea,2,0,1355.2,2.11,2.9,1.36,9.0,0.64,0.46,0.32832,7,7
1,04/05/13,QPR,Arsenal,0,1,1335.2,1.51,7.95,8.0,1.44,0.33,0.69,3.675,7,7
1,04/05/13,Swansea,Man City,0,0,1315.2,1.56,10.29,5.25,1.75,0.43,0.72,3.675,7,7
1,11/05/13,Aston Villa,Chelsea,1,2,1295.2,1.53,12.26,4.5,1.85,0.46,0.67,3.9,7,7
1,12/05/13,Fulham,Liverpool,1,3,1275.2,1.5,17.71,3.9,2.05,0.4,0.58,5.7,7,7
1,12/05/13,Stoke,Tottenham,1,2,1255.2,1.5,17.64,4.5,1.91,0.41,0.66,6.3,7,7
1,19/05/13,Newcastle,Arsenal,0,1,1235.2,1.54,7.54,6.0,1.55,0.43,0.73,2.775,7,7
2,18/08/13,Chelsea,Hull,2,0,1215.2,1.48,5.53,1.2,21.0,0.7,0.28,0.4992,7,7
1,18/08/13,Crystal Palace,Tottenham,0,1,1195.2,1.45,23.6,4.75,1.83,0.5,0.69,7.5,7,7
1,24/08/13,Aston Villa,Liverpool,0,1,1175.2,1.5,14.86,4.0,1.95,0.44,0.64,4.8,7,7
1,24/08/13,Fulham,Arsenal,1,3,1155.2,1.57,12.69,3.8,2.1,0.44,0.7,4.275,7,7
1,25/08/13,Cardiff,Man City,3,2,1305.2,1.67,5.23,8.5,1.44,0.1,0.72,7.5,7,7
1,31/08/13,Cardiff,Everton,0,0,1285.2,1.49,28.51,3.25,2.38,0.51,0.6,7.5,7,7
1,14/09/13,Everton,Chelsea,1,0,1333.2,1.56,17.31,3.4,2.35,0.59,0.72,4.5,7,7
1,14/09/13,Stoke,Man City,0,0,1313.2,1.6,8.12,6.0,1.65,0.44,0.7,2.7,7,7
1,14/09/13,Sunderland,Arsenal,1,3,1293.2,1.75,5.84,6.0,1.67,0.35,0.73,2.325,7,7
1,16/09/13,Swansea,Liverpool,2,2,1273.2,1.53,16.21,3.5,2.2,0.41,0.68,5.85,7,7
1,22/09/13,Cardiff,Tottenham,0,1,1253.2,1.47,24.08,4.5,1.91,0.51,0.7,7.5,7,7
1,22/09/13,Crystal Palace,Swansea,0,2,1233.2,1.52,21.63,3.5,2.25,0.26,0.41,7.5,7,7
1,28/09/13,Aston Villa,Man City,3,2,1343.2,1.81,4.76,6.5,1.57,0.43,0.7,1.425,7,7
1,28/09/13,Swansea,Arsenal,1,2,1323.2,1.53,18.95,3.2,2.38,0.44,0.76,7.125,7,7
1,29/09/13,Sunderland,Liverpool,1,3,1303.2,1.57,9.26,5.5,1.7,0.31,0.64,4.05,7,7
1,06/10/13,Norwich,Chelsea,1,3,1283.2,2.11,3.63,6.5,1.62,0.44,0.69,0.9,7,7
1,06/10/13,West Brom,Arsenal,1,1,1263.2,1.92,4.38,4.9,1.75,0.44,0.78,1.35,7,7
2,19/10/13,Arsenal,Norwich,4,1,1243.2,1.9,3.25,1.29,12.0,0.76,0.42,0.31488,7,7
1,19/10/13,Newcastle,Liverpool,2,2,1223.2,1.55,10.29,4.5,1.83,0.44,0.67,3.375,7,7
1,19/10/13,West Ham,Man City,1,3,1203.2,1.71,6.57,5.5,1.73,0.43,0.68,2.025,7,7
1,26/10/13,Aston Villa,Everton,0,2,1183.2,1.52,21.58,3.4,2.3,0.44,0.64,6.9,7,7
1,26/10/13,Crystal Palace,Arsenal,0,2,1163.2,1.64,5.27,11.0,1.36,0.11,0.77,7.5,7,7
1,02/11/13,Fulham,Man United,1,3,1143.2,2.09,3.54,6.5,1.57,0.4,0.69,0.975,7,7
2,02/11/13,Man City,Norwich,7,0,1123.2,1.78,3.29,1.2,18.0,0.66,0.4,0.3744,7,7
1,02/11/13,Newcastle,Chelsea,2,0,1223.2,1.43,16.06,6.0,1.62,0.42,0.74,6.6,7,7
1,02/11/13,Stoke,Southampton,1,1,1203.2,1.54,21.82,3.3,2.4,0.36,0.57,7.5,7,7
1,03/11/13,Cardiff,Swansea,1,0,1251.2,1.49,29.59,3.4,2.3,0.38,0.43,7.5,7,7
2,09/11/13,Chelsea,West Brom,2,2,1231.2,1.84,3.46,1.29,12.0,0.7,0.45,0.4032,7,7
1,09/11/13,Crystal Palace,Everton,0,0,1211.2,1.76,5.49,6.5,1.62,0.09,0.65,7.5,7,7
2,09/11/13,Liverpool,Fulham,4,0,1191.2,1.81,3.42,1.25,15.0,0.65,0.38,0.36864,7,7
1,10/11/13,Sunderland,Man City,1,0,1351.2,1.39,12.28,9.0,1.4,0.29,0.68,6.9,7,7
1,23/11/13,West Ham,Chelsea,0,3,1331.2,1.67,6.15,6.0,1.62,0.39,0.69,2.175,7,7
1,24/11/13,Cardiff,Man United,2,2,1311.2,1.44,18.0,6.0,1.65,0.4,0.72,7.5,7,7
1,30/11/13,Cardiff,Arsenal,0,3,1291.2,1.44,17.31,6.5,1.62,0.41,0.77,7.5,7,7
